Signal Legend:

Key        Signal Name

0        = masterLevel:masterLevel_Inst|start_signal
1        = masterLevel:masterLevel_Inst|LFSRBlock_test:LFSR_1|out[31..0]
2        = masterLevel:masterLevel_Inst|ctrl_clk
3        = masterLevelNew:masterLevel_Inst|mem_in_reg[164..0]
4        = UserPushButton1
5        = masterLevelNew:masterLevel_Inst|enable
6        = masterLevelNew:masterLevel_Inst|signalCrossClkDomainSR:enable_SR|SR[4..0]
7        = masterLevelNew:masterLevel_Inst|variable_clk_s
8        = masterLevelNew:masterLevel_Inst|transfer_enable_SR[4..0]

Data Table:

Signals-> 0 1         2 3                                           4 5 6   7 8   

sample

-64       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-63       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-62       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-61       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-60       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-59       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-58       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-57       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-56       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-55       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-54       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-53       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-52       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-51       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-50       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-49       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-48       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-47       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-46       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-45       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-44       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-43       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-42       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-41       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-40       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-39       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-38       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-37       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-36       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-35       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-34       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-33       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-32       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-31       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-30       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-29       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-28       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-27       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-26       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-25       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-24       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-23       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-22       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-21       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-20       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-19       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-18       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-17       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-16       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-15       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-14       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-13       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-12       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-11       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-10       1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-9        1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-8        1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-7        1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-6        1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-5        1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-4        1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 0 01h 
-3        1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-2        1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
-1        1 56872B32h 0 000000000000000000000000000000000000000000h 1 0 00h 1 01h 
0         1 56872B32h 0 000000000000000000000000000000000000000000h 0 0 00h 0 01h 
1         1 56872B32h 0 000000000000000000000000000000000000000000h 0 0 00h 0 01h 
2         1 56872B32h 0 000000000000000000000000000000000000000000h 0 0 00h 1 01h 
3         0 56872B32h 0 000000000000000000000000000000000000000000h 0 0 00h 1 01h 
4         0 56872B32h 0 000000000000000000000000000000000000000000h 0 0 00h 1 01h 
5         0 56872B32h 0 000000000000000000000000000000000000000000h 0 0 00h 0 01h 
6         0 56872B32h 0 000000000000000000000000000000000000000000h 0 0 00h 0 01h 
7         0 56872B32h 0 000000000000000000000000000000000000000000h 0 0 00h 1 01h 
8         0 56872B32h 0 000000000000000000000000000000000000000000h 0 1 00h 1 01h 
9         0 56872B32h 0 000000000000000000000000000000000000000000h 0 1 00h 1 01h 
10        0 56872B32h 0 000000000000000000000000000000000000000000h 0 1 00h 0 01h 
11        0 56872B32h 0 000000000000000000000000000000000000000000h 0 1 00h 0 01h 
12        0 56872B32h 0 000000000000000000000000000000000000000000h 0 1 00h 1 01h 
13        0 56872B32h 0 000000000000000000000000000000000000000000h 0 1 00h 1 01h 
14        0 56872B32h 0 000000000000000000000000000000000000000000h 0 1 01h 1 01h 
15        0 56872B32h 0 000000000000000000000000000000000000000000h 0 1 03h 0 01h 
16        0 56872B32h 0 000000000000000000000000000000000000000000h 0 1 07h 0 01h 
17        0 56872B32h 0 000000000000000000000000000000000000000000h 0 1 0Fh 1 01h 
18        0 56872B32h 0 000000000000000000000000000000000000000000h 0 1 1Fh 1 01h 
19        0 56872B32h 1 000000000000000000000000000000000000000000h 0 1 1Fh 1 01h 
20        0 AD0E5664h 1 000000000000000000000000000000000000000000h 0 1 1Fh 0 02h 
21        0 5A1CACC8h 1 000000000000000000000000000000000000000000h 0 1 1Fh 0 04h 
22        0 B4395991h 1 000000000000000000000000000000000000000000h 0 1 1Fh 1 08h 
23        0 6872B322h 1 015A1CACC15A1CACC95A1CACC95A1CACC85A1CACC8h 0 1 1Fh 1 10h 
24        0 D0E56645h 1 015A1CACC15A1CACC95A1CACC95A1CACC85A1CACC8h 0 1 1Fh 1 01h 
25        0 A1CACC8Ah 1 015A1CACC15A1CACC95A1CACC95A1CACC85A1CACC8h 0 1 1Fh 0 02h 
26        0 43959915h 1 015A1CACC15A1CACC95A1CACC95A1CACC85A1CACC8h 0 1 1Fh 0 04h 
27        0 872B322Ah 1 015A1CACC15A1CACC95A1CACC95A1CACC85A1CACC8h 0 1 1Fh 1 08h 
28        0 0E566454h 1 0B4395991343959913439599154395991443959915h 0 1 1Fh 1 10h 
29        0 1CACC8A9h 1 0B4395991343959913439599154395991443959915h 0 1 1Fh 1 01h 
30        0 39599153h 1 0B4395991343959913439599154395991443959915h 0 1 1Fh 0 02h 
31        0 72B322A7h 1 0B4395991343959913439599154395991443959915h 0 1 1Fh 0 04h 
32        0 E566454Eh 1 0B4395991343959913439599154395991443959915h 0 1 1Fh 1 08h 
33        0 CACC8A9Ch 1 0872B322A072B322A072B322A472B322A672B322A7h 0 1 1Fh 1 10h 
34        0 95991538h 1 0872B322A072B322A072B322A472B322A672B322A7h 0 1 1Fh 1 01h 
35        0 2B322A70h 1 0872B322A072B322A072B322A472B322A672B322A7h 0 1 1Fh 0 02h 
36        0 566454E0h 1 0872B322A072B322A072B322A472B322A672B322A7h 0 1 1Fh 0 04h 
37        0 ACC8A9C0h 1 0872B322A072B322A072B322A472B322A672B322A7h 0 1 1Fh 1 08h 
38        0 59915380h 1 0E566454E6566454E2566454E0566454E0566454E0h 0 1 1Fh 1 10h 
39        0 B322A701h 1 0E566454E6566454E2566454E0566454E0566454E0h 0 1 1Fh 1 01h 
40        0 66454E02h 1 0E566454E6566454E2566454E0566454E0566454E0h 0 1 1Fh 0 02h 
41        0 CC8A9C04h 1 0E566454E6566454E2566454E0566454E0566454E0h 0 1 1Fh 0 04h 
42        0 99153808h 1 0E566454E6566454E2566454E0566454E0566454E0h 0 1 1Fh 1 08h 
43        0 322A7010h 1 0ACC8A9C02CC8A9C02CC8A9C04CC8A9C04CC8A9C04h 0 1 1Fh 1 10h 
44        0 6454E020h 1 0ACC8A9C02CC8A9C02CC8A9C04CC8A9C04CC8A9C04h 0 1 1Fh 1 01h 
45        0 C8A9C041h 1 0ACC8A9C02CC8A9C02CC8A9C04CC8A9C04CC8A9C04h 0 1 1Fh 0 02h 
46        0 91538082h 1 0ACC8A9C02CC8A9C02CC8A9C04CC8A9C04CC8A9C04h 0 1 1Fh 0 04h 
47        0 22A70105h 1 0ACC8A9C02CC8A9C02CC8A9C04CC8A9C04CC8A9C04h 0 1 1Fh 1 08h 
48        0 454E020Bh 1 099153808191538081915380819153808291538082h 0 1 1Fh 1 10h 
49        0 8A9C0417h 1 099153808191538081915380819153808291538082h 0 1 1Fh 1 01h 
50        0 1538082Eh 1 099153808191538081915380819153808291538082h 0 1 1Fh 0 02h 
51        0 2A70105Dh 1 099153808191538081915380819153808291538082h 0 1 1Fh 0 04h 
52        0 54E020BBh 1 099153808191538081915380819153808291538082h 0 1 1Fh 1 08h 
53        0 A9C04176h 1 022A7010522A70105A2A70105C2A70105C2A70105Dh 0 1 1Fh 1 10h 
54        0 538082EDh 1 022A7010522A70105A2A70105C2A70105C2A70105Dh 0 1 1Fh 1 01h 
55        0 A70105DAh 1 022A7010522A70105A2A70105C2A70105C2A70105Dh 0 1 1Fh 0 02h 
56        0 4E020BB5h 1 022A7010522A70105A2A70105C2A70105C2A70105Dh 0 1 1Fh 0 04h 
57        0 9C04176Ah 1 022A7010522A70105A2A70105C2A70105C2A70105Dh 0 1 1Fh 1 08h 
58        0 38082ED5h 1 054E020BB54E020BB14E020BB54E020BB44E020BB5h 0 1 1Fh 1 10h 
59        0 70105DAAh 1 054E020BB54E020BB14E020BB54E020BB44E020BB5h 0 1 1Fh 1 01h 
60        0 E020BB54h 1 054E020BB54E020BB14E020BB54E020BB44E020BB5h 0 1 1Fh 0 02h 
61        0 C04176A9h 1 054E020BB54E020BB14E020BB54E020BB44E020BB5h 0 1 1Fh 0 04h 
62        0 8082ED53h 1 054E020BB54E020BB14E020BB54E020BB44E020BB5h 0 1 1Fh 1 08h 
63        0 0105DAA6h 1 09C04176A1C04176A9C04176A9C04176A8C04176A9h 0 1 1Fh 1 10h 
64        0 020BB54Ch 1 09C04176A1C04176A9C04176A9C04176A8C04176A9h 0 1 1Fh 1 01h 
65        0 04176A99h 1 09C04176A1C04176A9C04176A9C04176A8C04176A9h 0 1 1Fh 0 02h 
66        0 082ED532h 1 09C04176A1C04176A9C04176A9C04176A8C04176A9h 0 1 1Fh 0 04h 
67        0 105DAA65h 1 09C04176A1C04176A9C04176A9C04176A8C04176A9h 0 1 1Fh 1 08h 
68        0 20BB54CAh 1 08082ED530082ED530082ED530082ED532082ED532h 0 1 1Fh 1 10h 
69        0 4176A995h 1 08082ED530082ED530082ED530082ED532082ED532h 0 1 1Fh 1 01h 
70        0 82ED532Bh 1 08082ED530082ED530082ED530082ED532082ED532h 0 1 1Fh 0 02h 
71        0 05DAA657h 1 08082ED530082ED530082ED530082ED532082ED532h 0 1 1Fh 0 04h 
72        0 0BB54CAFh 1 08082ED530082ED530082ED530082ED532082ED532h 0 1 1Fh 1 08h 
